Id,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena
302,284,8,36,14,32,30,7
303,285,50,56,41,12,32,37
304,286,44,37,56,29,47,35
305,287,60,47,3,33,25,13
306,288,50,9,18,11,6,17
307,289,36,6,30,20,7,25
308,290,57,30,7,25,40,26
309,291,22,16,5,41,18,17
310,292,24,34,53,45,23,13
311,293,6,12,35,5,28,7
312,294,28,45,41,22,57,25
313,294,28,45,41,22,57,25
314,295,24,44,7,31,12,50
315,296,20,51,42,3,52,46
316,297,20,28,41,1,33,36
317,298,22,34,24,23,5,60
318,299,7,5,2,53,33,49
319,300,27,57,41,38,28,24
320,301,58,26,49,57,48,9
321,302,25,40,12,60,30,41
322,303,7,13,30,37,47,17
323,304,42,7,11,34,59,41
324,305,11,5,27,60,38,53
325,306,30,19,57,41,56,47
326,307,26,17,13,41,16,44
327,308,55,25,4,11,29,39
328,309,39,50,25,55,11,4
329,310,28,14,29,2,31,32
330,311,32,22,24,41,30,38
331,312,14,30,50,41,47,23
332,313,14,38,53,24,16,37
333,314,5,32,40,58,37,34
334,315,50,21,43,12,28,22
335,316,28,51,56,6,24,43
336,317,27,20,48,16,30,35
337,318,19,53,40,3,31,20
338,319,12,16,23,17,19,48
339,320,20,53,47,50,22,27
340,321,11,31,32,48,49,4
341,322,18,11,29,44,47,56
342,323,31,49,54,33,26,40
343,324,22,8,30,15,47,25
344,325,4,23,3,1,21,53
345,325,4,23,3,1,21,53
346,326,52,23,40,51,44,21
347,327,46,38,29,33,32,48
348,328,51,5,23,7,14,21
349,329,24,11,40,12,35,10
350,330,2,4,23,37,14,51
351,331,27,1,35,20,37,13
352,332,28,23,42,29,44,34
353,333,35,27,53,44,52,4
354,334,41,26,51,14,24,23
355,334,41,26,51,14,24,23
356,335,43,33,57,23,59,7
357,336,2,18,54,22,30,26
358,337,31,52,14,54,16,4
359,338,48,46,9,1,36,4
360,339,13,16,12,5,27,50
361,340,10,60,42,9,33,12
362,341,56,23,22,43,16,5
363,342,29,49,54,51,16,34
364,343,4,6,7,24,12,41
365,343,4,6,7,24,12,41
366,344,33,36,12,35,10,14
367,345,56,11,58,46,51,22
368,346,56,7,46,60,41,12
369,347,26,10,52,1,12,48
370,348,39,40,33,52,19,30
371,349,9,38,32,8,54,28
372,350,23,30,43,10,15,57
373,351,15,16,59,60,24,41
374,352,49,7,47,25,20,44
375,353,60,46,30,55,23,19
376,354,40,52,38,16,7,41
377,355,2,37,22,60,14,23
378,356,54,19,5,58,56,21
379,357,45,53,32,2,30,35
380,358,40,42,32,12,21,17
381,359,31,54,20,29,13,19
382,360,47,24,29,55,53,23
383,361,41,28,45,31,16,59
384,362,37,20,33,46,7,56
385,363,39,54,29,49,47,19
386,364,59,44,29,5,51,57
387,365,52,19,34,37,58,23
388,366,6,4,51,7,21,15
389,367,52,49,27,33,12,10
390,368,13,50,38,32,44,29
391,369,21,42,1,60,35,14
392,370,51,42,4,54,1,40
393,371,23,33,39,4,60,18
394,372,24,17,46,57,16,39
395,372,24,17,46,57,16,39
396,373,31,33,24,10,5,1
397,374,54,2,26,5,44,16
398,375,51,9,42,5,58,1
399,376,25,13,10,43,35,48
400,377,46,19,3,45,12,27
401,378,55,45,48,41,5,38
402,379,41,55,24,59,33,40
403,380,47,22,13,30,31,57
404,381,9,56,46,28,10,55
405,382,54,38,53,31,37,34
406,383,48,22,53,56,50,14
407,384,28,50,47,24,40,52
408,385,22,12,24,18,5,16
409,385,22,12,24,18,5,16
410,386,39,54,43,36,17,35
411,387,29,28,48,47,43,22
412,388,52,48,53,58,23,36
413,389,46,14,54,18,43,5
414,390,7,22,34,12,38,53
415,391,7,15,35,16,40,4
416,392,49,47,39,31,15,23
417,393,12,50,36,6,35,40
418,394,15,49,42,5,45,35
419,395,11,58,31,14,10,20
420,396,47,18,6,45,34,42
421,397,32,24,2,5,1,46
422,398,28,7,16,37,36,22
423,399,59,55,16,27,47,11
424,400,29,59,13,10,54,28
425,401,50,18,44,53,11,43
426,402,27,43,58,5,16,56
427,403,46,31,7,16,60,27
428,404,24,38,58,1,40,28
429,405,57,60,34,24,29,47
430,406,47,32,48,12,38,2
431,407,49,2,18,51,22,57
432,408,49,44,33,28,56,14
433,409,26,49,25,18,31,34
434,410,31,55,36,24,8,38
435,411,10,56,12,31,45,38
436,412,45,5,14,21,59,12
437,413,35,53,29,33,2,4
438,414,35,26,58,52,45,16
439,415,38,44,4,1,27,42
440,416,13,1,23,56,54,33
441,417,25,7,12,21,42,34
442,418,45,8,32,49,15,52
443,418,45,8,32,49,15,52
444,419,41,42,52,53,16,9
445,420,43,12,59,30,57,29
446,421,38,45,35,37,5,51
447,422,60,12,56,37,55,43
448,423,8,22,33,40,32,53
449,424,29,36,27,18,59,46
450,425,6,16,10,34,47,42
451,426,7,32,54,50,30,37
452,427,51,13,43,24,3,14
453,428,60,8,32,28,46,30
454,429,55,32,17,36,26,43
455,430,50,21,10,25,38,8
456,431,58,26,40,37,47,52
457,432,50,17,13,27,4,39
458,433,36,17,28,16,54,30
459,434,24,17,4,54,30,10
460,435,37,11,17,31,43,10
461,436,1,6,57,29,48,7
462,437,54,10,59,44,30,7
463,438,38,48,14,3,11,5
464,439,42,13,20,29,43,57
465,440,46,23,30,47,5,3
466,441,2,15,58,10,59,21
467,442,15,31,23,6,59,37
468,443,11,36,17,26,52,48
469,444,48,52,57,24,3,33
470,445,31,50,7,53,32,20
471,446,11,20,8,47,12,17
472,446,11,20,8,47,12,17
473,447,24,55,15,33,25,42
474,448,5,3,52,45,9,51
475,449,34,56,24,1,49,8
476,450,59,51,13,1,9,50
477,451,23,18,31,17,53,28
478,452,54,11,51,16,36,30
479,453,58,52,8,34,20,23
480,454,4,17,42,56,46,24
481,455,50,15,17,2,14,59
482,456,17,40,22,27,33,3
483,457,48,15,24,27,17,32
484,457,48,15,24,27,17,32
485,457,48,15,24,27,17,32
486,458,43,53,13,32,34,24
487,459,43,17,8,15,49,39
488,460,19,55,30,23,37,49
489,461,30,17,20,29,15,60
490,462,27,48,17,19,26,22
491,463,7,18,2,45,3,53
492,464,6,33,45,38,24,50
493,465,46,31,1,57,22,51
494,466,28,16,45,29,30,11
495,467,38,21,8,22,18,60
496,468,23,6,25,39,51,5
497,469,29,47,42,21,13,26
498,469,29,47,42,21,13,26
499,470,51,58,23,11,8,37
500,471,51,59,31,5,36,32
501,472,12,3,38,29,51,4
502,473,51,7,58,49,23,41
503,474,34,3,12,50,32,40
504,475,19,6,43,52,8,22
505,476,38,43,20,55,17,58
506,477,47,34,8,6,18,38
507,477,47,34,8,6,18,38
508,477,47,34,8,6,18,38
509,478,30,8,31,3,21,25
510,479,20,54,58,26,41,46
511,480,36,38,33,14,49,41
512,481,42,6,24,44,22,13
513,481,42,6,24,44,22,13
514,481,42,6,24,44,22,13
515,482,13,56,12,33,53,54
516,483,16,23,35,18,44,59
517,484,53,19,38,18,17,49
518,485,38,28,52,30,19,57
519,486,50,42,19,8,30,14
520,487,25,22,48,52,54,8
521,487,25,22,48,52,54,8
522,488,30,39,35,43,15,57
523,489,28,36,17,53,33,59
524,490,5,11,29,54,23,58
525,491,22,43,15,55,9,1
526,492,57,2,15,6,56,18
527,493,54,20,3,18,42,24
528,494,28,32,49,53,18,20
529,495,36,15,60,8,29,49
530,496,41,20,19,29,59,10
531,497,9,41,32,13,58,20
532,498,49,28,2,6,57,50
533,499,59,1,11,5,44,4
534,500,35,21,54,29,38,36
535,501,34,27,56,28,16,39
536,502,50,7,33,21,24,13
537,502,50,7,33,21,24,13
538,503,10,21,48,27,49,7
539,504,39,19,11,8,50,30
540,505,47,20,52,3,46,28
541,506,31,37,34,15,38,4
542,507,44,58,5,27,33,3
543,507,44,58,5,27,33,3
544,508,46,56,5,15,45,10
545,509,32,55,34,35,28,33
546,510,30,45,58,1,4,41
547,510,30,45,58,1,4,41
548,511,8,36,34,37,3,4
549,512,8,40,58,4,53,31
550,512,8,40,58,4,53,31
551,512,8,40,58,4,53,31
552,513,46,10,27,19,33,39
553,514,15,52,40,36,51,42
554,515,39,16,57,15,45,48
555,516,24,5,34,13,35,33
556,517,51,32,8,28,38,7
557,518,44,8,5,15,18,10
558,519,9,36,15,19,42,22
559,520,32,34,17,35,9,12
560,521,28,32,38,25,15,45
561,522,49,52,15,25,14,6
562,523,45,58,40,39,28,44
563,524,47,29,34,48,19,41
564,525,26,32,24,49,8,10
565,525,26,32,24,49,8,10
566,526,3,59,21,36,55,31
567,527,17,14,50,52,6,26
568,528,34,28,37,12,8,31
569,529,56,45,13,33,38,1
570,529,56,45,13,33,38,1
571,529,56,45,13,33,38,1
572,529,56,45,13,33,38,1
573,529,56,45,13,33,38,1
574,529,56,45,13,33,38,1
575,529,56,45,13,33,38,1
576,529,56,45,13,33,38,1
577,529,56,45,13,33,38,1
578,529,56,45,13,33,38,1
579,529,56,45,13,33,38,1
580,529,56,45,13,33,38,1
581,529,56,45,13,33,38,1
582,529,56,45,13,33,38,1
583,529,56,45,13,33,38,1
584,530,32,21,25,1,6,49
585,531,3,1,35,7,18,50
586,532,13,4,12,53,9,52
587,533,27,18,13,59,21,53
588,534,48,57,23,8,31,3
589,535,49,14,47,56,6,28
590,536,14,22,25,15,37,23
591,537,37,3,19,34,39,7
592,538,45,43,56,25,52,3
593,539,16,50,55,6,47,19
594,540,22,4,30,44,28,49
595,541,58,57,27,13,49,52
596,542,49,4,19,28,35,6
597,543,35,54,37,42,49,46
598,544,11,33,56,47,17,34
599,545,43,35,57,29,40,17
600,546,46,4,54,17,13,5
601,547,4,59,13,53,28,30
602,548,51,49,14,47,59,58
603,549,13,51,58,22,46,8
604,550,17,56,16,38,39,45
605,551,56,48,57,21,12,46
606,552,22,54,52,47,49,9
607,553,43,46,58,53,54,4
608,554,47,29,31,15,60,42
609,555,49,5,23,33,45,31
610,556,8,45,30,33,17,10
611,557,18,49,38,23,8,12
612,558,59,57,7,58,31,14
613,559,53,25,36,13,17,6
614,560,32,18,11,30,2,58
615,561,39,49,36,20,55,1
616,562,37,35,23,16,57,55
617,563,34,8,23,44,51,5
618,564,38,13,32,20,10,49
619,565,31,37,35,7,45,34
620,566,17,6,20,18,13,37
621,567,57,58,11,38,41,31
622,568,25,41,17,29,13,22
623,569,32,15,14,9,3,57
624,570,35,32,36,33,51,15
625,571,14,31,12,13,51,50
626,572,33,3,20,60,9,16
627,573,59,29,17,6,40,22
628,574,32,23,2,10,44,17
629,575,18,29,21,48,35,5
630,575,18,29,21,48,35,5
631,576,18,43,52,39,7,8
632,577,31,47,28,23,8,24
633,578,48,3,58,18,56,23
634,579,15,34,39,17,4,9
635,580,38,16,18,28,15,47
636,581,30,25,52,14,39,17
637,582,13,40,29,59,45,51
638,583,55,6,41,20,43,7
639,584,30,53,23,7,32,8
640,585,24,39,12,33,57,36
641,586,45,38,13,11,54,39
642,587,30,2,36,18,60,29
643,588,45,13,46,55,53,11
644,589,13,7,33,59,6,8
645,590,25,51,5,18,4,28
646,591,58,3,18,50,34,1
647,592,55,14,59,47,13,42
648,593,27,29,1,59,25,49
649,594,10,53,55,29,13,47
650,595,54,2,43,1,50,25
651,596,43,60,28,11,54,14
652,597,42,40,27,22,56,29
653,598,5,16,53,38,50,34
654,598,5,16,53,38,50,34
655,599,6,45,51,9,23,4
656,600,18,39,54,34,31,16
657,601,37,19,29,30,10,22
658,602,38,60,13,7,55,46
659,603,4,8,11,29,12,44
660,604,41,49,51,25,15,46
661,605,44,52,53,4,49,24
662,606,41,6,23,55,32,35
663,607,6,59,11,27,19,41
664,608,30,6,37,19,24,13
665,609,15,2,59,60,6,58
666,610,25,49,30,43,47,45
667,611,22,21,33,16,48,49
668,612,55,33,15,50,53,18
669,613,54,55,13,44,6,19
670,614,60,31,12,48,57,16
671,615,27,31,8,10,51,5
672,616,24,16,26,54,12,2
673,617,25,5,49,36,33,3
674,617,25,5,49,36,33,3
675,618,60,10,3,8,24,13
676,619,16,12,46,14,8,19
677,620,22,1,29,13,32,3
678,621,29,31,50,26,57,49
679,622,59,27,19,29,50,38
680,623,42,23,55,30,9,49
681,624,39,23,34,52,8,43
682,625,59,12,32,42,24,40
683,626,49,8,22,18,7,39
684,627,19,13,45,58,56,1
685,628,8,16,22,56,58,30
686,629,40,47,39,16,51,15
687,630,16,53,20,60,12,45
688,631,1,28,47,20,44,32
689,632,2,54,48,51,19,28
690,633,27,46,5,50,11,22
691,634,13,41,24,42,10,56
692,635,49,42,37,8,20,26
693,636,30,32,34,50,28,26
694,637,52,58,43,48,11,18
695,638,42,10,50,41,11,36
696,639,51,39,35,60,45,13
697,640,12,42,59,46,19,60
698,641,17,13,33,9,1,34
699,642,51,17,56,36,44,40
700,643,14,45,24,37,40,42
701,644,57,29,31,27,34,14
702,645,52,48,24,53,54,3
703,646,13,47,60,32,49,10
704,647,56,19,11,14,12,54
705,648,5,48,23,42,45,29
706,648,5,48,23,42,45,29
707,648,5,48,23,42,45,29
708,649,9,54,41,48,33,24
709,650,53,59,25,29,10,24
710,651,39,45,28,26,48,60
711,652,24,18,57,56,10,20
712,653,31,24,19,34,9,5
713,654,10,11,56,40,41,6
714,655,26,39,1,37,43,48
715,656,59,37,46,36,35,51
716,657,20,59,58,33,60,16
717,658,41,20,36,3,11,6
718,659,14,29,40,34,51,52
719,660,53,5,38,54,46,11
720,661,42,40,27,4,55,36
721,662,4,60,56,25,18,23
722,663,1,49,30,55,27,51
723,664,12,1,55,59,38,36
724,665,8,47,7,48,25,18
725,666,7,26,16,29,45,55
726,667,5,23,16,4,49,1
727,668,49,33,56,2,14,1
728,669,7,41,24,40,49,27
729,670,42,59,58,37,48,22
730,671,27,16,39,51,9,38
731,672,43,34,53,38,28,24
732,673,6,40,37,11,20,34
733,674,22,32,18,29,42,38
734,675,50,42,30,25,43,24
735,676,49,32,15,9,41,42
736,677,25,10,48,8,32,55
737,678,44,46,31,14,40,42
738,679,37,21,54,3,58,25
739,680,44,2,26,5,3,22
740,681,59,21,53,25,58,38
741,682,60,37,47,36,4,27
742,683,43,40,12,11,2,35
743,684,50,37,33,40,19,17
744,685,33,27,5,56,12,43
745,686,33,5,4,54,15,26
746,687,59,48,1,7,41,14
747,688,47,30,52,11,21,35
748,689,6,60,7,31,49,51
749,690,15,41,8,47,12,53
750,691,55,16,58,8,37,50
751,692,33,18,60,11,58,57
752,693,14,50,41,17,31,13
753,694,15,19,29,53,37,41
754,695,13,40,21,52,6,11
755,696,37,16,34,57,53,9
756,696,37,16,34,57,53,9
757,697,53,35,32,31,28,51
758,698,22,8,27,43,55,12
759,699,53,17,50,23,54,48
760,700,2,3,24,40,31,14
761,701,13,1,31,23,60,48
762,702,1,56,18,58,45,57
763,703,30,24,2,45,11,27
764,704,2,27,50,34,18,4
765,705,3,15,11,13,26,43
766,706,22,10,17,7,2,60
767,707,51,8,1,43,10,36
768,707,51,8,1,43,10,36
769,708,45,13,39,47,9,7
770,709,29,22,44,9,6,4
771,710,46,25,5,49,39,34
772,711,10,5,41,59,40,33
773,712,35,7,53,58,8,43
774,713,46,1,26,16,12,54
775,714,17,53,39,8,7,35
776,715,54,36,12,4,33,24
777,715,54,36,12,4,33,24
778,715,54,36,12,4,33,24
779,716,29,2,7,50,16,32
780,717,28,35,41,17,6,23
781,718,7,35,21,39,58,33
782,719,39,47,37,53,32,3
783,720,12,56,44,51,31,54
784,721,14,3,23,55,36,25
785,722,60,36,57,18,44,9
786,723,16,6,52,1,36,50
787,724,34,51,55,17,48,27
788,725,49,9,3,35,37,41
789,725,49,9,3,35,37,41
790,726,40,47,1,5,7,37
791,727,14,42,12,4,59,30
792,728,44,42,13,8,24,32
793,729,33,56,18,57,43,5
794,730,45,15,2,54,16,50
795,731,35,6,15,23,28,16
796,732,49,19,53,50,17,6
797,733,12,26,31,43,46,2
798,734,44,45,27,29,43,54
799,735,40,42,15,52,38,9
800,736,1,21,38,41,56,49
801,737,33,12,24,38,11,32
802,738,15,30,14,42,26,54
803,739,6,45,56,49,35,10
804,740,29,47,12,50,16,28
805,741,26,39,27,24,59,36
806,742,34,17,7,41,2,50
807,743,54,20,32,60,25,23
808,744,26,46,12,23,39,4
809,745,21,57,37,16,43,2
810,746,49,12,10,57,25,1
811,746,49,12,10,57,25,1
812,747,21,23,56,12,3,2
813,748,1,7,19,51,35,2
814,749,24,47,4,57,48,50
815,750,58,17,54,10,42,33
816,751,4,25,38,50,20,7
817,752,25,4,29,42,24,23
818,753,59,35,43,22,7,2
819,754,4,42,34,50,3,13
820,755,59,30,47,12,4,49
821,756,37,50,41,5,38,27
822,757,17,32,12,18,58,30
823,758,47,59,1,23,36,43
824,759,59,39,30,31,48,45
825,760,12,17,60,44,46,45
826,761,56,29,17,13,27,40
827,762,39,9,21,12,37,54
828,763,40,47,1,48,9,26
829,764,7,3,55,47,53,45
830,765,3,37,50,16,30,10
831,766,1,50,19,42,24,58
832,767,22,50,32,38,54,15
833,768,33,37,59,30,4,8
834,769,20,21,50,29,12,16
835,770,4,34,25,35,48,12
836,771,29,46,34,47,21,14
837,772,38,51,52,60,10,35
838,773,3,5,51,29,34,14
839,774,37,5,54,58,46,10
840,775,27,12,46,47,42,50
841,776,57,35,60,41,3,15
842,777,14,50,23,2,28,56
843,778,45,20,36,37,31,51
844,779,36,54,52,25,29,26
845,780,10,50,28,51,59,7
846,781,10,54,8,39,56,13
847,782,11,23,59,42,35,2
848,783,43,21,48,8,4,32
849,784,42,56,8,37,27,53
850,785,35,5,37,8,48,17
851,786,27,31,26,11,10,41
852,787,37,31,20,60,34,54
853,788,31,57,17,19,29,44
854,789,60,39,31,38,6,50
855,790,22,2,19,28,43,6
856,791,42,35,19,9,14,58
857,792,43,56,9,45,29,34
858,793,3,51,33,15,16,57
859,794,56,47,55,38,42,3
860,795,14,36,21,29,26,48
861,796,19,24,43,34,39,5
862,797,58,48,52,47,12,6
863,798,32,9,4,52,29,3
864,799,29,35,19,57,42,55
865,800,1,7,56,11,37,38
866,801,20,22,11,19,48,42
867,802,14,24,60,6,18,48
868,803,10,57,28,3,5,21
